,trial,best_distance,learning_curve
0,0,inf,inf
1,1,133.78516968038298,133.78516968038298
2,2,129.30684278707596,129.30684278707596
3,3,129.30684278707596,132.23081383325285
4,4,129.20099904485815,129.20099904485815
5,5,129.20099904485815,130.48248864653826
6,6,129.20099904485815,133.75989597362477
7,7,128.62575459552207,128.62575459552207
8,8,128.62575459552207,132.88717537597486
9,9,128.62575459552207,133.5953888652596
10,10,128.62575459552207,129.37973399772463
11,11,127.79425605819485,127.79425605819485
12,12,127.79425605819485,128.58122021798226
13,13,127.72827370504457,127.72827370504457
14,14,127.72827370504457,133.2308658262364
15,15,127.72827370504457,129.49771755868517
16,16,127.72827370504457,131.06626506744166
17,17,127.72827370504457,128.79171940923894
18,18,127.72827370504457,129.08283503265932
19,19,127.72827370504457,128.63619177488627
20,20,127.72827370504457,131.64030063499902
21,21,127.72827370504457,131.34528636245153
22,22,127.72827370504457,130.7712000136315
23,23,127.72827370504457,132.99277354890648
24,24,127.72827370504457,128.1648142550488
25,25,127.33164056463158,127.33164056463158
26,26,127.33164056463158,128.24632991757704
27,27,127.33164056463158,131.99170083278833
28,28,127.33164056463158,132.1859725205137
29,29,127.33164056463158,130.36370507386164
30,30,127.33164056463158,130.47998197187408
31,31,127.33164056463158,132.49619369866394
32,32,127.33164056463158,133.86339705933793
33,33,127.33164056463158,131.09160843072095
34,34,127.33164056463158,129.41522997978916
35,35,127.33164056463158,130.92425122732692
36,36,127.33164056463158,131.1175327326972
37,37,127.33164056463158,127.95121153201274
38,38,127.33164056463158,130.57453454468748
39,39,127.33164056463158,133.8101301997229
40,40,127.33164056463158,130.21770419709463
41,41,127.33164056463158,131.69973847172815
42,42,127.33164056463158,128.58238139936392
43,43,127.33164056463158,129.7394656715096
44,44,127.33164056463158,131.80076247626712
45,45,127.33164056463158,131.3042957011494
46,46,127.33164056463158,130.49641433795202
47,47,127.33164056463158,131.56649011678851
48,48,127.33164056463158,129.1893804645461
49,49,127.33164056463158,133.52515078657598
50,50,127.33164056463158,128.55981187414608
51,51,127.31640656662577,127.31640656662577
52,52,127.31640656662577,127.74881331310426
53,53,127.31640656662577,127.78557458576951
54,54,127.31640656662577,128.04908209615016
55,55,127.31640656662577,128.24466637446776
56,56,127.31640656662577,128.25105862778278
57,57,127.31640656662577,128.79095483340797
58,58,127.31640656662577,128.64800505122028
59,59,127.31640656662577,128.35925729594544
60,60,127.31640656662577,129.0837803508757
61,61,127.31640656662577,128.48962150509703
62,62,127.31640656662577,128.56597342158142
63,63,127.31640656662577,128.63416817057913
64,64,127.31640656662577,128.1394926607249
65,65,127.31640656662577,128.4680257763871
66,66,127.31640656662577,127.86691546937628
67,67,127.07740535864335,127.07740535864335
68,68,127.07740535864335,128.05860492097568
69,69,127.07740535864335,128.56768120363716
70,70,127.07740535864335,128.0385638548694
71,71,127.07740535864335,128.58807928174133
72,72,127.07740535864335,127.99844955917901
73,73,127.07740535864335,127.83332258921855
74,74,127.07740535864335,128.10432240442904
75,75,127.07740535864335,127.45844259837664
76,76,127.07740535864335,127.69212971376383
77,77,127.07740535864335,128.77083425357853
78,78,127.07740535864335,128.0859661442839
79,79,127.07740535864335,128.79025126416448
80,80,127.07740535864335,128.32170005569338
81,81,127.07740535864335,128.315721391312
82,82,127.07740535864335,127.68473257916743
83,83,127.07740535864335,128.8433557598606
84,84,127.07740535864335,127.79319421096402
85,85,127.07740535864335,127.94880781290165
86,86,127.07740535864335,128.58794204759118
87,87,127.07740535864335,127.8157131600219
88,88,127.07740535864335,127.31079547996274
89,89,127.07740535864335,128.81223326874274
90,90,127.07740535864335,128.65125533065705
91,91,127.07740535864335,127.67787857374547
92,92,126.7524080920608,126.7524080920608
93,93,126.7524080920608,127.20485921153968
94,94,126.7524080920608,128.96674595220944
95,95,126.7524080920608,128.687550616592
96,96,126.7524080920608,129.1176541135941
97,97,126.7524080920608,128.07090526569766
98,98,126.7524080920608,128.61333072041774
99,99,126.7524080920608,127.78665833666234
