,trial,best_distance,learning_curve
0,0,inf,inf
1,1,-512.9706534960436,-512.9706534960436
2,2,-512.9706534960436,-500.0500370201988
3,3,-512.9706534960436,-494.1281285760204
4,4,-517.2790282977076,-517.2790282977076
5,5,-517.9451371540673,-517.9451371540673
6,6,-517.9451371540673,-498.03818123409735
7,7,-517.9451371540673,-500.8288262335955
8,8,-517.9451371540673,-501.99904008196165
9,9,-517.9451371540673,-506.7509024976077
10,10,-517.9451371540673,-489.10484034856665
11,11,-517.9451371540673,-507.9843490108653
12,12,-517.9451371540673,-494.43204163832473
13,13,-517.9451371540673,-478.4163267098185
14,14,-517.9451371540673,-492.6576394985773
15,15,-517.9451371540673,-511.086974568832
16,16,-517.9451371540673,-496.59844415579255
17,17,-517.9451371540673,-495.34054018037017
18,18,-517.9451371540673,-510.6795288690337
19,19,-517.9451371540673,-517.095037758282
20,20,-517.9451371540673,-509.7086358292076
21,21,-517.9451371540673,-507.7102978018814
22,22,-517.9451371540673,-511.68534959304975
23,23,-517.9451371540673,-508.3243963189905
24,24,-517.9451371540673,-495.0397593198666
25,25,-517.9451371540673,-502.9433920857577
26,26,-517.9451371540673,-503.57356598557516
27,27,-517.9451371540673,-500.638017636688
28,28,-517.9451371540673,-504.3124517615437
29,29,-517.9451371540673,-502.49830142454044
30,30,-517.9451371540673,-489.40065624525204
31,31,-517.9451371540673,-511.59742601237224
32,32,-517.9451371540673,-493.5984194773303
33,33,-517.9451371540673,-504.6523997468321
34,34,-517.9451371540673,-510.00527811777937
35,35,-517.9451371540673,-498.2896439230184
36,36,-517.9451371540673,-500.1168806895162
37,37,-517.9451371540673,-487.1026042628016
38,38,-517.9451371540673,-501.92050904874515
39,39,-517.9451371540673,-478.05803935753516
40,40,-517.9451371540673,-502.90942592201753
41,41,-517.9451371540673,-505.3432450635299
42,42,-517.9451371540673,-505.19805134731087
43,43,-517.9451371540673,-500.21453469704824
44,44,-517.9451371540673,-506.1791008043003
45,45,-517.9451371540673,-481.994210438522
46,46,-517.9451371540673,-505.82762913307266
47,47,-517.9451371540673,-496.3216348369334
48,48,-517.9451371540673,-506.2653551046398
49,49,-517.9451371540673,-511.1993916977856
50,50,-517.9451371540673,-497.3379724172446
51,51,-517.9451371540673,-515.5379663443798
52,52,-517.9451371540673,-516.5920859112839
53,53,-517.9451371540673,-516.0958006815237
54,54,-517.9451371540673,-513.0254973135346
55,55,-517.9451371540673,-512.8283307484121
56,56,-517.9451371540673,-511.80012983842414
57,57,-517.9451371540673,-510.9668156724428
58,58,-517.9451371540673,-511.1703179691801
59,59,-517.9451371540673,-509.7624896501117
60,60,-517.9451371540673,-509.6835132146866
61,61,-517.9451371540673,-510.8451154360927
62,62,-517.9451371540673,-511.64841518053424
63,63,-517.9451371540673,-516.7984133034353
64,64,-517.9451371540673,-511.1090834413088
65,65,-517.9451371540673,-510.90001147420156
66,66,-518.2285821868079,-518.2285821868079
67,67,-518.2285821868079,-511.79915398124234
68,68,-518.2285821868079,-512.7626845885956
69,69,-518.2285821868079,-510.78563445046854
70,70,-518.2285821868079,-517.9202437043458
71,71,-518.2285821868079,-513.5229355195362
72,72,-518.2285821868079,-515.9617097514705
73,73,-518.2285821868079,-510.6843039112521
74,74,-518.2285821868079,-512.1434554123958
75,75,-518.2285821868079,-516.9411868995229
76,76,-518.2285821868079,-511.89019521117956
77,77,-518.2285821868079,-509.8111541633597
78,78,-518.2285821868079,-511.6987826661873
79,79,-518.2285821868079,-517.9526278751521
80,80,-518.2285821868079,-510.43782934000194
81,81,-518.2285821868079,-516.802473227909
82,82,-518.2285821868079,-510.71111699074754
83,83,-518.2285821868079,-513.0342044984403
84,84,-518.2285821868079,-511.60862488313563
85,85,-518.2285821868079,-511.12667238117837
86,86,-518.2285821868079,-516.4463079460091
87,87,-518.2285821868079,-511.06755183910093
88,88,-518.2285821868079,-511.7677321782446
89,89,-518.786404725079,-518.786404725079
90,90,-518.786404725079,-510.4438913086857
91,91,-518.786404725079,-495.92895742394285
92,92,-518.786404725079,-506.66489202011644
93,93,-525.0860080140701,-525.0860080140701
94,94,-525.0860080140701,-507.16058823025514
95,95,-525.0860080140701,-511.6261286260534
96,96,-525.0860080140701,-497.5237189217977
97,97,-525.0860080140701,-518.8071454423995
98,98,-525.0860080140701,-511.3587080363096
99,99,-525.0860080140701,-511.43051668940655
100,100,-525.0860080140701,-511.36703492585934
101,101,-525.0860080140701,-523.1461108624399
102,102,-525.0860080140701,-518.751099681135
103,103,-525.0860080140701,-518.9147366580007
104,104,-525.0860080140701,-518.2006822250996
105,105,-525.0860080140701,-518.0610993958206
106,106,-525.0860080140701,-517.4980798399492
107,107,-525.0860080140701,-517.5366743294892
108,108,-525.0860080140701,-516.8877623159794
109,109,-525.0860080140701,-516.9358599631948
110,110,-525.0860080140701,-516.9319732470278
111,111,-525.0860080140701,-516.9580344773497
112,112,-525.0860080140701,-518.786650772311
113,113,-525.0860080140701,-518.9748270499239
114,114,-525.0860080140701,-517.8908689910706
115,115,-525.0860080140701,-518.1225786237137
116,116,-525.0860080140701,-518.614635161017
117,117,-525.0860080140701,-517.19773535204
118,118,-525.0860080140701,-517.2708498894419
119,119,-525.0860080140701,-523.5910659336137
120,120,-525.0860080140701,-516.9462637724022
121,121,-525.0860080140701,-518.6829805050851
122,122,-525.0860080140701,-517.4800003509766
123,123,-525.0860080140701,-517.0217928386388
124,124,-525.0860080140701,-517.8814149538515
125,125,-525.0860080140701,-514.5870675221913
126,126,-525.0860080140701,-518.8001994278279
127,127,-525.0860080140701,-516.7960884992751
128,128,-525.0860080140701,-519.9935487842082
129,129,-525.0860080140701,-517.7959654804295
130,130,-525.0860080140701,-524.2365991365823
131,131,-525.0860080140701,-519.1781522825254
132,132,-525.0860080140701,-517.2291592906523
133,133,-525.0860080140701,-516.6317038387386
134,134,-525.0860080140701,-516.9492819908764
135,135,-525.0860080140701,-519.1242174904963
136,136,-525.0860080140701,-518.7893281148602
137,137,-525.0860080140701,-516.7167823662929
138,138,-525.0860080140701,-517.0175826058298
139,139,-525.0860080140701,-524.2736505212727
140,140,-525.0860080140701,-518.5413783124494
141,141,-525.0860080140701,-518.786404725079
142,142,-525.0860080140701,-509.25089246602926
143,143,-525.0860080140701,-503.88564953289125
144,144,-525.0860080140701,-514.8809630660608
145,145,-525.0860080140701,-517.2790282977076
146,146,-525.0860080140701,-501.5610229024975
147,147,-525.0860080140701,-512.5857671576028
148,148,-525.0860080140701,-516.7984133034353
149,149,-525.0860080140701,-516.7899192740023
150,150,-525.0860080140701,-516.9593760714722
151,151,-525.0860080140701,-523.6637717230519
152,152,-525.1980865022826,-525.1980865022826
153,153,-525.1980865022826,-524.801709461007
154,154,-525.1980865022826,-523.117704892652
155,155,-525.1980865022826,-522.10252215346
156,156,-525.1980865022826,-518.8322216201884
157,157,-525.1980865022826,-519.0595926571938
158,158,-525.1980865022826,-518.9486644060579
159,159,-525.1980865022826,-517.2015756486581
160,160,-525.1980865022826,-518.7624325690754
161,161,-525.1980865022826,-524.3034884383815
162,162,-525.1980865022826,-519.1243770996931
163,163,-525.1980865022826,-519.7740772314617
164,164,-525.1980865022826,-518.3847756662778
165,165,-525.1980865022826,-520.0864121451384
166,166,-525.1980865022826,-523.1454752821086
167,167,-525.1980865022826,-516.4456280202489
168,168,-525.1980865022826,-518.531851955239
169,169,-525.1980865022826,-523.6303426966673
170,170,-525.1980865022826,-524.562239358765
171,171,-525.1980865022826,-519.8146803890487
172,172,-525.1980865022826,-523.6979340870522
173,173,-525.1980865022826,-522.9494462211564
174,174,-525.1980865022826,-518.9127893739433
175,175,-525.1980865022826,-524.3229040709384
176,176,-525.1980865022826,-516.8230912465087
177,177,-525.1980865022826,-519.031117524452
178,178,-525.1980865022826,-519.2419450645251
179,179,-525.1980865022826,-516.9988657820123
180,180,-525.1980865022826,-523.3085807445736
181,181,-525.1980865022826,-521.1122759793041
182,182,-525.1980865022826,-520.8994707220899
183,183,-525.1980865022826,-519.1609263471089
184,184,-525.1980865022826,-519.5704502387567
185,185,-525.1980865022826,-522.4978346701376
186,186,-525.1980865022826,-518.9457906720296
187,187,-525.1980865022826,-524.2254352479495
188,188,-525.1980865022826,-522.5716778762885
189,189,-525.1980865022826,-524.4677586642914
190,190,-525.1980865022826,-518.9120227690826
191,191,-525.1980865022826,-521.7891239346069
192,192,-525.1980865022826,-496.5529010325939
193,193,-525.1980865022826,-510.05354554213613
194,194,-525.1980865022826,-515.8002438059456
195,195,-525.1980865022826,-507.6055403464884
196,196,-525.1980865022826,-512.444062469233
197,197,-525.1980865022826,-523.1461108624399
198,198,-525.1980865022826,-507.8586227421806
199,199,-525.1980865022826,-519.2015348835068
200,200,-525.1980865022826,-518.542018066844
201,201,-525.1980865022826,-524.2095333032471
202,202,-526.1270330829296,-526.1270330829296
203,203,-526.1270330829296,-524.8364778553994
204,204,-526.1270330829296,-525.1079937515692
205,205,-526.1270330829296,-523.2768529931363
206,206,-526.1270330829296,-522.9905601873901
207,207,-526.1270330829296,-524.3410029077568
208,208,-526.1270330829296,-523.7401597924068
209,209,-526.1270330829296,-523.6340461936513
210,210,-526.1270330829296,-525.3171086586269
211,211,-526.1270330829296,-524.1762446018321
212,212,-526.1270330829296,-525.2180146936797
213,213,-526.1270330829296,-523.6288029135657
214,214,-526.1270330829296,-522.9609635189383
215,215,-526.1270330829296,-523.176504115463
216,216,-526.1270330829296,-525.3349940399787
217,217,-526.1270330829296,-523.5327182432882
218,218,-526.1270330829296,-523.7008043133623
219,219,-526.1270330829296,-524.61973325302
220,220,-526.1270330829296,-524.5182892901591
221,221,-526.2550273300334,-526.2550273300334
222,222,-526.2550273300334,-524.130556885051
223,223,-526.2550273300334,-524.3875848298212
224,224,-526.2550273300334,-523.7267898934456
225,225,-526.2550273300334,-524.9095575147146
226,226,-526.2550273300334,-523.6105964945266
227,227,-526.2550273300334,-524.1636065596164
228,228,-526.2550273300334,-524.0636771789148
229,229,-526.2550273300334,-524.8600055554662
230,230,-526.2550273300334,-526.1072922016859
231,231,-526.282024032613,-526.282024032613
232,232,-526.282024032613,-524.6709831625972
233,233,-526.282024032613,-525.0174619514554
234,234,-526.282024032613,-523.4112193958471
235,235,-526.282024032613,-525.4993228870669
236,236,-526.282024032613,-522.7222748424506
237,237,-526.282024032613,-522.4260753201199
238,238,-526.282024032613,-524.244300241171
239,239,-526.282024032613,-525.6978691799502
240,240,-526.282024032613,-522.7166869508537
241,241,-526.282024032613,-524.1133020437724
242,242,-526.282024032613,-523.6979340870522
243,243,-526.282024032613,-524.1581219355324
244,244,-526.282024032613,-524.4677586642914
245,245,-526.282024032613,-523.6637717230519
246,246,-526.282024032613,-524.7610616893884
247,247,-526.282024032613,-524.2365991365823
248,248,-526.282024032613,-522.9968140700225
249,249,-526.282024032613,-524.2254352479495
250,250,-526.282024032613,-523.6547212061093
251,251,-526.3419368328118,-526.3419368328118
252,252,-526.3419368328118,-526.0011731881236
253,253,-526.3945744726703,-526.3945744726703
254,254,-526.3945744726703,-525.939774215984
255,255,-526.3945744726703,-526.03316622028
256,256,-526.3945744726703,-525.3596636067685
257,257,-526.3945744726703,-524.027712549711
258,258,-526.3945744726703,-525.0643598005017
259,259,-526.3945744726703,-526.2752107785858
260,260,-526.3945744726703,-525.1304489903873
261,261,-526.3945744726703,-525.2036264540791
262,262,-526.3945744726703,-526.1281876664808
