,trial,best_distance,learning_curve
0,0,inf,inf
1,1,-489.9319073859452,-489.9319073859452
2,2,-500.0236552530812,-500.0236552530812
3,3,-506.92540762514096,-506.92540762514096
4,4,-506.92540762514096,-505.8540023018357
5,5,-506.92540762514096,-500.1074179155196
6,6,-506.92540762514096,-496.20778853027196
7,7,-506.92540762514096,-502.8261415408865
8,8,-506.92540762514096,-497.3614688635393
9,9,-506.92540762514096,-498.37185071887455
10,10,-506.92540762514096,-502.6547763587516
11,11,-506.92540762514096,-490.16797885743887
12,12,-515.3306432231774,-515.3306432231774
13,13,-515.3306432231774,-497.99407796159915
14,14,-515.3306432231774,-505.0901820550161
15,15,-515.3306432231774,-511.60559564790964
16,16,-515.3306432231774,-507.68722738418717
17,17,-515.3306432231774,-507.25950552277135
18,18,-515.3306432231774,-496.46172065471126
19,19,-515.3306432231774,-497.37598763718654
20,20,-515.3306432231774,-505.3197152681551
21,21,-515.3306432231774,-501.6197829251412
22,22,-515.3306432231774,-502.835933547117
23,23,-515.3306432231774,-498.4564592260223
24,24,-515.3306432231774,-503.2901504138502
25,25,-515.3306432231774,-475.5706464582872
26,26,-515.3306432231774,-496.2326337919445
27,27,-515.3306432231774,-495.65986440016337
28,28,-515.3306432231774,-499.81331133214593
29,29,-515.3306432231774,-482.6169361269091
30,30,-515.3306432231774,-506.2044520161856
31,31,-515.3306432231774,-503.6594206182299
32,32,-515.3306432231774,-493.42449260669895
33,33,-515.3306432231774,-510.03029884806364
34,34,-515.3306432231774,-495.81857543348644
35,35,-515.3306432231774,-488.52732711686645
36,36,-515.3306432231774,-493.2826852173506
37,37,-515.3306432231774,-488.0955626140786
38,38,-515.3306432231774,-489.07514381504245
39,39,-515.3306432231774,-484.1928431337678
40,40,-515.3306432231774,-495.3500532115961
41,41,-515.3306432231774,-511.80057186130387
42,42,-515.3306432231774,-500.3334801938806
43,43,-515.3306432231774,-511.31238828215305
44,44,-515.3306432231774,-511.36740606583453
45,45,-515.3306432231774,-498.3775775789249
46,46,-515.3306432231774,-489.06448275475003
47,47,-515.3306432231774,-510.6420509468259
48,48,-515.3306432231774,-508.3387506372213
49,49,-515.3306432231774,-502.9195173012565
50,50,-515.3306432231774,-514.9773798818187
51,51,-515.3306432231774,-514.7026819096994
52,52,-515.3306432231774,-514.3600158863771
53,53,-515.3306432231774,-511.8872235789602
54,54,-515.3306432231774,-512.8402171293684
55,55,-515.3306432231774,-511.1577177861953
56,56,-515.3306432231774,-511.02927081008033
57,57,-515.3306432231774,-509.8244911662826
58,58,-515.3306432231774,-509.1955152931719
59,59,-515.3306432231774,-508.70284520299606
60,60,-515.3306432231774,-508.52051366953316
61,61,-515.3306432231774,-511.85936134626377
62,62,-515.3306432231774,-511.426272775571
63,63,-515.3306432231774,-514.9378767836419
64,64,-516.6393764138605,-516.6393764138605
65,65,-516.6393764138605,-509.80256702950527
66,66,-516.6393764138605,-510.4385012383281
67,67,-516.6393764138605,-510.22862593985536
68,68,-516.6393764138605,-507.9991002905309
69,69,-516.6393764138605,-511.3169213605954
70,70,-516.6393764138605,-508.7960913660956
71,71,-516.6393764138605,-511.28134042780715
72,72,-516.6393764138605,-511.81927972453195
73,73,-516.6393764138605,-515.0719883340302
74,74,-516.6393764138605,-515.3186886561002
75,75,-516.6393764138605,-507.5382044786465
76,76,-516.6393764138605,-507.4012991277328
77,77,-516.6393764138605,-510.07804064427205
78,78,-516.6393764138605,-510.4228971006335
79,79,-516.6393764138605,-512.8822577236315
80,80,-516.6393764138605,-513.5782252827975
81,81,-516.6393764138605,-512.4750221038112
82,82,-516.6393764138605,-510.70798844815266
83,83,-516.6393764138605,-511.6017644125866
84,84,-516.6393764138605,-515.0664542002719
85,85,-516.6393764138605,-507.8766223382934
86,86,-516.6393764138605,-511.9388365664364
87,87,-516.6393764138605,-511.11393074300935
88,88,-516.6393764138605,-515.0841946389806
89,89,-516.6393764138605,-511.37913553525027
90,90,-516.6393764138605,-507.19130593235946
91,91,-516.6393764138605,-509.3794534738101
92,92,-516.6393764138605,-510.0928527900667
93,93,-516.6393764138605,-500.2825074173807
94,94,-516.6393764138605,-509.0688303295392
95,95,-520.1844484654247,-520.1844484654247
96,96,-520.1844484654247,-511.2861221820027
97,97,-520.1844484654247,-506.9449470004628
98,98,-520.1844484654247,-508.50058082870027
99,99,-520.1844484654247,-497.05882628020026
100,100,-520.1844484654247,-510.09679472784575
101,101,-520.3338900539068,-520.3338900539068
102,102,-520.3338900539068,-516.9518922398537
103,103,-520.3338900539068,-515.1199522547773
104,104,-520.3338900539068,-513.5741272993008
105,105,-520.3338900539068,-516.0618076955928
106,106,-520.3338900539068,-513.0604456166317
107,107,-520.3338900539068,-516.3712382426979
108,108,-520.3338900539068,-514.7542433559457
109,109,-520.3338900539068,-512.9293735423616
110,110,-520.3338900539068,-512.6389451453477
111,111,-520.3338900539068,-515.0845212114448
112,112,-520.3338900539068,-518.1454898932645
113,113,-520.3338900539068,-515.8800135642188
114,114,-520.3338900539068,-513.7018956255201
115,115,-520.3338900539068,-515.5004353319605
116,116,-520.3338900539068,-517.4619938092828
117,117,-520.3338900539068,-515.4334906408969
118,118,-520.3338900539068,-513.9361320879649
119,119,-520.3338900539068,-516.0815038103221
120,120,-520.3338900539068,-516.1747753629788
121,121,-520.3338900539068,-512.8303220860722
122,122,-520.3338900539068,-519.583847310573
123,123,-520.3338900539068,-515.1647077349311
124,124,-520.3338900539068,-514.8025085339625
125,125,-520.3338900539068,-515.4480674599579
126,126,-520.3338900539068,-515.8949576454036
127,127,-520.3338900539068,-514.8383935862481
128,128,-520.3338900539068,-514.8200314530945
129,129,-520.3338900539068,-513.9153043455689
130,130,-520.3338900539068,-517.1699791348896
131,131,-521.3729209774867,-521.3729209774867
132,132,-521.3729209774867,-515.9877413394819
133,133,-521.3729209774867,-515.9451830966673
134,134,-521.3729209774867,-514.4783602369553
135,135,-521.3729209774867,-513.4858745847438
136,136,-521.3729209774867,-515.60470725643
137,137,-521.3729209774867,-514.7464279220627
138,138,-521.3729209774867,-513.7585054930846
139,139,-521.3729209774867,-515.9576717538417
140,140,-521.3729209774867,-514.9014376429631
141,141,-521.3729209774867,-501.578556549404
142,142,-521.3729209774867,-503.62396170205346
143,143,-521.3729209774867,-501.9392426576151
144,144,-521.3729209774867,-500.26264450954693
145,145,-521.3729209774867,-513.0219432065885
146,146,-521.3729209774867,-515.312531610963
147,147,-521.3729209774867,-515.2972645301785
148,148,-521.3729209774867,-503.66490948450183
149,149,-521.3729209774867,-515.0719883340302
150,150,-521.3729209774867,-517.7040812482592
151,151,-521.5772646343855,-521.5772646343855
152,152,-521.5772646343855,-521.0351086566898
153,153,-521.5772646343855,-519.7958824178482
154,154,-521.5772646343855,-517.0067782198411
155,155,-521.5772646343855,-517.771803933027
156,156,-521.5772646343855,-515.5101947775844
157,157,-521.5772646343855,-516.9450478625249
158,158,-521.5772646343855,-516.4456529921368
159,159,-521.5772646343855,-515.8949694046969
160,160,-521.5772646343855,-514.2829461661938
161,161,-521.5772646343855,-517.4905970436463
162,162,-521.5772646343855,-518.2407759253111
163,163,-521.5772646343855,-517.7114328279812
164,164,-522.8679561925429,-522.8679561925429
165,165,-522.8679561925429,-519.4240729704356
166,166,-522.8679561925429,-517.2678639739408
167,167,-522.8679561925429,-516.5793584974658
168,168,-522.8679561925429,-521.277423120477
