,trial,best_distance,learning_curve
0,0,inf,inf
1,1,-509.6664056258039,-509.6664056258039
2,2,-509.6664056258039,-499.42385890543153
3,3,-509.6664056258039,-488.3666668742572
4,4,-509.6664056258039,-505.6396699752509
5,5,-509.6664056258039,-499.46015821506677
6,6,-511.1279598011732,-511.1279598011732
7,7,-511.1279598011732,-508.2217339644651
8,8,-525.8635043072823,-525.8635043072823
9,9,-525.8635043072823,-508.38517678019207
10,10,-525.8635043072823,-512.289848583993
11,11,-525.8635043072823,-489.889229919037
12,12,-525.8635043072823,-495.9529884973525
13,13,-525.8635043072823,-501.875220742035
14,14,-525.8635043072823,-494.6812255757933
15,15,-525.8635043072823,-492.52602289649656
16,16,-525.8635043072823,-499.96819547190466
17,17,-525.8635043072823,-497.4937754154195
18,18,-525.8635043072823,-492.93083756729817
19,19,-525.8635043072823,-506.6405522447664
20,20,-525.8635043072823,-501.3906326405387
21,21,-525.8635043072823,-494.7528366589012
22,22,-525.8635043072823,-508.33235582728605
23,23,-525.8635043072823,-504.6666727398082
24,24,-525.8635043072823,-510.31373869347607
25,25,-525.8635043072823,-491.37695474619477
26,26,-525.8635043072823,-481.8317151521497
27,27,-525.8635043072823,-501.2024844334317
28,28,-525.8635043072823,-492.5164054118739
29,29,-525.8635043072823,-494.61519451744016
30,30,-525.8635043072823,-507.92094427128995
31,31,-525.8635043072823,-512.744992443017
32,32,-525.8635043072823,-513.4885091047073
33,33,-525.8635043072823,-510.93548002840487
34,34,-525.8635043072823,-504.8616156912357
35,35,-525.8635043072823,-504.7273899414109
36,36,-525.8635043072823,-489.57507811962915
37,37,-525.8635043072823,-496.035943719254
38,38,-525.8635043072823,-495.89947090334255
39,39,-525.8635043072823,-492.5314908764051
40,40,-525.8635043072823,-499.9428543680263
41,41,-525.8635043072823,-500.17791339967715
42,42,-525.8635043072823,-501.60997611330276
43,43,-525.8635043072823,-495.37860290713917
44,44,-525.8635043072823,-517.8563742910084
45,45,-525.8635043072823,-494.98699091886493
46,46,-525.8635043072823,-522.1215198509683
47,47,-525.8635043072823,-516.1075060454515
48,48,-525.8635043072823,-499.8438422006068
49,49,-525.8635043072823,-504.7172885947866
50,50,-525.8635043072823,-488.34799148280564
51,51,-525.8635043072823,-525.4455657750035
52,52,-525.8635043072823,-519.7737575217926
53,53,-525.8635043072823,-517.214392967922
54,54,-525.8635043072823,-515.5927996190024
55,55,-525.8635043072823,-512.9394278222873
56,56,-525.8635043072823,-511.8254724064395
57,57,-525.8635043072823,-511.2380569740545
58,58,-525.8635043072823,-510.4392871700219
59,59,-525.8635043072823,-510.0951898912351
60,60,-525.8635043072823,-510.91366191755634
61,61,-525.8635043072823,-521.9766462920219
62,62,-525.8635043072823,-510.52843311448413
63,63,-525.8635043072823,-512.2474880109135
64,64,-525.8635043072823,-514.0793784995229
65,65,-525.8635043072823,-517.1497591804053
66,66,-525.8635043072823,-524.8913429168533
67,67,-525.8635043072823,-511.06233452339853
68,68,-525.8635043072823,-512.441282006017
69,69,-525.8635043072823,-516.154368694378
70,70,-525.8635043072823,-511.6245085976551
71,71,-525.8635043072823,-524.2105598855973
72,72,-525.8635043072823,-510.51969583448033
73,73,-525.8635043072823,-511.09467414782705
74,74,-525.8635043072823,-517.1413982171653
75,75,-525.8635043072823,-522.1620429362205
76,76,-525.8635043072823,-515.1455966716899
77,77,-525.8635043072823,-511.9960460961311
78,78,-525.8635043072823,-515.1804374625345
79,79,-525.8635043072823,-508.57007266130853
80,80,-525.8635043072823,-509.9345690183184
81,81,-525.8635043072823,-517.7834080972987
82,82,-525.8635043072823,-512.7183934717565
83,83,-525.8635043072823,-511.250156243059
84,84,-525.8635043072823,-522.1643786260634
85,85,-525.8635043072823,-513.1194792672668
86,86,-525.8635043072823,-510.52620630609016
87,87,-526.1169961854882,-526.1169961854882
88,88,-526.1169961854882,-513.9600293665153
89,89,-526.1169961854882,-509.7947642510178
90,90,-526.1169961854882,-515.720684742157
91,91,-526.1169961854882,-503.7863740861787
92,92,-526.1169961854882,-508.6243944021814
93,93,-526.1169961854882,-522.424509893198
94,94,-526.1169961854882,-516.1551784533899
95,95,-526.1169961854882,-524.4842973783421
96,96,-526.1169961854882,-515.365444080823
97,97,-526.1169961854882,-504.929033452562
98,98,-526.1169961854882,-494.7216751630341
99,99,-526.1169961854882,-500.92559281191245
100,100,-526.1169961854882,-521.7470500551541
101,101,-526.1169961854882,-526.0797251470077
102,102,-526.1169961854882,-525.5182590846457
103,103,-526.1169961854882,-524.3676824673022
104,104,-526.1169961854882,-523.8484553102621
105,105,-526.1169961854882,-523.6538915105352
106,106,-526.1169961854882,-524.227786578137
107,107,-526.1169961854882,-522.7926501512366
108,108,-526.1169961854882,-523.3318629254953
109,109,-526.1169961854882,-520.6710291674427
110,110,-526.1169961854882,-522.6932116165787
111,111,-526.1169961854882,-525.6421480881053
112,112,-526.1169961854882,-524.9082355980509
113,113,-526.1169961854882,-520.4265567682489
114,114,-526.1169961854882,-520.9182453410706
115,115,-526.1169961854882,-525.4669762744215
116,116,-526.1169961854882,-523.2690604222953
117,117,-526.1169961854882,-523.0543229739429
118,118,-526.1169961854882,-523.3431842980575
119,119,-526.1169961854882,-522.7632638886843
120,120,-526.5268988067338,-526.5268988067338
121,121,-526.5268988067338,-520.8829800506397
122,122,-526.5268988067338,-523.1631849050275
123,123,-526.5268988067338,-520.5202262463331
124,124,-526.5268988067338,-522.0922855231443
125,125,-528.241124976636,-528.241124976636
126,126,-528.241124976636,-525.101809031161
127,127,-528.241124976636,-523.6154721663659
128,128,-528.241124976636,-522.2917778171974
129,129,-528.241124976636,-525.0393670847734
130,130,-528.241124976636,-523.8431364205674
131,131,-528.241124976636,-522.8354869065199
132,132,-528.241124976636,-524.9734866815861
133,133,-528.241124976636,-525.9670725785734
134,134,-528.241124976636,-521.6609515911533
135,135,-528.241124976636,-521.753321418173
136,136,-528.241124976636,-524.3924654270647
137,137,-528.241124976636,-524.865762888135
138,138,-528.241124976636,-522.2232554312357
139,139,-528.241124976636,-526.2446994120919
140,140,-528.241124976636,-522.5293214898506
141,141,-528.241124976636,-504.8150319967215
142,142,-528.241124976636,-524.2105598855973
143,143,-528.241124976636,-524.8913429168533
144,144,-528.241124976636,-508.2815499511436
145,145,-528.241124976636,-517.739553056169
146,146,-528.241124976636,-499.00794471727073
147,147,-528.241124976636,-521.7470500551541
148,148,-528.241124976636,-499.02475270236886
