,trial,best_distance,learning_curve
0,0,inf,inf
1,1,-500.10640940423207,-500.10640940423207
2,2,-500.10640940423207,-498.8810893583114
3,3,-512.2829510970178,-512.2829510970178
4,4,-512.2829510970178,-501.3585960880709
5,5,-512.2829510970178,-502.20585507932253
6,6,-512.2829510970178,-511.3744973989596
7,7,-512.2829510970178,-495.9802253536996
8,8,-512.2829510970178,-498.98261655768914
9,9,-512.2829510970178,-499.1216875010125
10,10,-512.2829510970178,-493.8043294878132
11,11,-512.2829510970178,-488.3175496713214
12,12,-512.2829510970178,-499.7877359230526
13,13,-512.2829510970178,-508.0513473424597
14,14,-512.2829510970178,-502.5425694802411
15,15,-512.2829510970178,-488.2754489450729
16,16,-512.2829510970178,-475.00606147614735
17,17,-512.2829510970178,-501.26538184292497
18,18,-512.2829510970178,-501.6620928268716
19,19,-512.2829510970178,-492.1555943284288
20,20,-512.2829510970178,-501.51019853711273
21,21,-512.2829510970178,-497.15572810905985
22,22,-512.2829510970178,-473.63586706818
23,23,-512.2829510970178,-504.0374302956814
24,24,-512.2829510970178,-506.81312051221647
25,25,-512.2829510970178,-499.8595004023206
26,26,-512.2829510970178,-502.54547298996056
27,27,-512.2829510970178,-493.0307162104961
28,28,-512.2829510970178,-506.9972019814531
29,29,-512.2829510970178,-498.16302014006874
30,30,-512.2829510970178,-495.7781608039739
31,31,-512.2829510970178,-490.61280214480144
32,32,-512.2829510970178,-510.6719253350371
33,33,-512.2829510970178,-501.1649550384329
34,34,-512.2829510970178,-501.2322384140888
35,35,-512.2829510970178,-498.56474553039163
36,36,-512.2829510970178,-501.25595400009183
37,37,-512.2829510970178,-496.52941277388993
38,38,-512.2829510970178,-503.9169014381757
39,39,-512.2829510970178,-498.0017392773507
40,40,-512.2829510970178,-491.21356014323266
41,41,-512.2829510970178,-509.751023347139
42,42,-512.2829510970178,-496.91519929556824
43,43,-512.2829510970178,-495.76664824721735
44,44,-512.2829510970178,-508.7966660365791
45,45,-512.2829510970178,-507.9272307265534
46,46,-517.1807868891048,-517.1807868891048
47,47,-517.1807868891048,-499.6150541497876
48,48,-517.1807868891048,-498.7624601355905
49,49,-517.1807868891048,-502.8472809512466
50,50,-517.1807868891048,-505.6639960596252
51,51,-517.1807868891048,-490.1768910236671
52,52,-517.1807868891048,-491.22675513078985
53,53,-517.1807868891048,-502.29439012448876
54,54,-517.1807868891048,-486.17166740290884
55,55,-517.1807868891048,-493.5492027669777
56,56,-517.1807868891048,-490.1175126273837
57,57,-517.1807868891048,-510.7032426873821
58,58,-517.1807868891048,-490.63427880057384
59,59,-517.1807868891048,-506.6346063172752
60,60,-517.1807868891048,-499.5457174289742
61,61,-517.1807868891048,-496.97528598405256
62,62,-517.1807868891048,-493.12866734320716
63,63,-517.1807868891048,-493.7255978832802
64,64,-517.1807868891048,-499.52528146608165
65,65,-517.1807868891048,-488.4173107239555
66,66,-517.1807868891048,-488.8744686907914
67,67,-517.1807868891048,-498.1435208752261
68,68,-517.1807868891048,-514.9997925579809
69,69,-517.1807868891048,-496.13948254150074
70,70,-517.1807868891048,-500.37766110379823
71,71,-517.1807868891048,-490.9412819291161
72,72,-517.1807868891048,-506.88821161829634
73,73,-517.1807868891048,-492.5451044085241
74,74,-517.1807868891048,-498.0758734714842
75,75,-517.1807868891048,-504.44174727437604
76,76,-517.1807868891048,-501.7311217296047
77,77,-517.1807868891048,-489.06190336659716
78,78,-517.1807868891048,-496.9110439629474
79,79,-519.5978162130019,-519.5978162130019
80,80,-519.5978162130019,-497.4897536134695
81,81,-519.5978162130019,-517.920074365705
82,82,-519.5978162130019,-518.8911933904527
83,83,-519.5978162130019,-503.76672330288255
84,84,-519.5978162130019,-505.5627634090581
85,85,-519.5978162130019,-512.7927182531772
86,86,-519.5978162130019,-485.0837576365609
87,87,-519.5978162130019,-513.6827059132951
88,88,-519.5978162130019,-517.7379197689606
89,89,-519.5978162130019,-501.43472573561513
90,90,-519.5978162130019,-507.94688460646444
91,91,-519.5978162130019,-512.9422007870801
92,92,-520.0383361937556,-520.0383361937556
93,93,-520.0383361937556,-501.1735654017737
94,94,-520.0383361937556,-500.23153531309424
95,95,-520.0383361937556,-497.02894827405527
96,96,-520.0383361937556,-511.0616612576786
97,97,-520.0383361937556,-499.444842280131
98,98,-520.0383361937556,-491.85077745854437
99,99,-520.0383361937556,-502.3111920655338
100,100,-520.0383361937556,-506.6683688548112
101,101,-520.0383361937556,-503.77008471874893
102,102,-520.0383361937556,-495.75095010702904
103,103,-520.0383361937556,-501.0120397423974
104,104,-520.0383361937556,-501.5323986001092
105,105,-520.0383361937556,-510.74840709988075
106,106,-520.0383361937556,-507.8960199348436
107,107,-520.0383361937556,-502.269296650923
108,108,-520.0383361937556,-486.12594950477774
109,109,-520.0383361937556,-502.80234742040926
110,110,-520.0383361937556,-515.7038459908088
111,111,-520.0383361937556,-486.7339552793525
112,112,-520.0383361937556,-492.2425840820414
113,113,-520.0383361937556,-492.75898543621514
114,114,-520.0383361937556,-503.1302604083062
