,trial,best_distance,learning_curve
0,0,inf,inf
1,1,-513.7414287510335,-513.7414287510335
2,2,-513.7488564797437,-513.7488564797437
3,3,-514.3921839812874,-514.3921839812874
4,4,-514.3921839812874,-514.3921839812874
5,5,-514.3921839812874,-514.3921839812874
6,6,-514.9791902462936,-514.9791902462936
7,7,-514.9791902462936,-514.9791902462936
8,8,-515.5811702798683,-515.5811702798683
9,9,-515.5811702798683,-515.5811702798683
10,10,-515.9830147692493,-515.9830147692493
11,11,-516.7482521874547,-516.7482521874547
12,12,-516.7482521874547,-516.7482521874547
13,13,-516.7482521874547,-516.7482521874547
14,14,-516.7482521874547,-516.7482521874547
15,15,-516.880292576459,-516.880292576459
16,16,-517.0134166276048,-517.0134166276048
17,17,-517.4655343286055,-517.4655343286055
18,18,-517.4655343286055,-517.4655343286055
19,19,-517.4754568058771,-517.4754568058771
20,20,-517.4754568058771,-517.4754568058771
21,21,-517.4754568058771,-517.4754568058771
22,22,-517.4860415537131,-517.4860415537131
23,23,-517.4860415537131,-517.4860415537131
24,24,-518.4544965939702,-518.4544965939702
25,25,-518.4544965939702,-518.4544965939702
26,26,-518.5745767426667,-518.5745767426667
27,27,-518.5745767426667,-518.5745767426667
28,28,-518.6241495883977,-518.6241495883977
29,29,-518.6241495883977,-518.6241495883977
30,30,-518.6241495883977,-518.6241495883977
31,31,-518.7338141256082,-518.7338141256082
32,32,-521.0417138789476,-521.0417138789476
33,33,-521.3763660413332,-521.3763660413332
34,34,-521.3763660413332,-521.3763660413332
35,35,-522.8234584755259,-522.8234584755259
36,36,-522.8234584755259,-522.8234584755259
37,37,-523.9390767333437,-523.9390767333437
38,38,-523.9390767333437,-523.9390767333437
39,39,-523.9390767333437,-523.9390767333437
40,40,-523.9390767333437,-523.9390767333437
41,41,-523.9390767333437,-523.9390767333437
42,42,-524.3539446400985,-524.3539446400985
43,43,-524.3539446400985,-524.3539446400985
44,44,-524.3539446400985,-524.3539446400985
45,45,-524.3642175163983,-524.3642175163983
46,46,-524.3642175163983,-524.3642175163983
47,47,-524.9365139196049,-524.9365139196049
48,48,-524.9365139196049,-524.9365139196049
49,49,-524.9365139196049,-524.9365139196049
50,50,-525.0987801360307,-525.0987801360307
51,51,-525.2743475171904,-525.2743475171904
52,52,-525.2743475171904,-525.2743475171904
53,53,-525.2743475171904,-525.2743475171904
54,54,-525.2743475171904,-525.2743475171904
55,55,-525.2743475171904,-525.2743475171904
56,56,-527.0050208937682,-527.0050208937682
57,57,-528.5262354393133,-528.5262354393133
58,58,-528.7300784595944,-528.7300784595944
59,59,-528.7300784595944,-528.7300784595944
60,60,-528.7300784595944,-528.7300784595944
61,61,-528.944160240459,-528.944160240459
62,62,-530.2966829504763,-530.2966829504763
63,63,-530.2966829504763,-530.2966829504763
64,64,-530.2966829504763,-530.2966829504763
65,65,-530.3574702213225,-530.3574702213225
66,66,-530.3588423613891,-530.3588423613891
67,67,-530.4379447213968,-530.4379447213968
68,68,-530.447036911623,-530.447036911623
69,69,-530.447036911623,-530.447036911623
70,70,-530.447036911623,-530.447036911623
71,71,-530.4692993240919,-530.4692993240919
72,72,-530.4692993240919,-530.4692993240919
73,73,-530.5141039553296,-530.5141039553296
74,74,-530.542053715206,-530.542053715206
75,75,-530.6291044225956,-530.6291044225956
76,76,-530.6291044225956,-530.6291044225956
77,77,-531.4495992196587,-531.4495992196587
78,78,-531.4495992196587,-531.4495992196587
79,79,-531.4495992196587,-531.4495992196587
80,80,-531.5709229225715,-531.5709229225715
81,81,-531.5709229225715,-531.5709229225715
82,82,-531.5709229225715,-531.5709229225715
83,83,-531.5709229225715,-531.5709229225715
84,84,-531.5709229225715,-531.5709229225715
85,85,-532.5638703186198,-532.5638703186198
86,86,-532.9194213537721,-532.9194213537721
87,87,-532.9194213537721,-532.9194213537721
88,88,-532.9194213537721,-532.9194213537721
89,89,-533.1077628112154,-533.1077628112154
90,90,-533.1077628112154,-533.1077628112154
91,91,-533.1077628112154,-533.1077628112154
92,92,-533.1077628112154,-533.1077628112154
93,93,-533.1077628112154,-533.1077628112154
94,94,-533.1077628112154,-533.1077628112154
95,95,-533.1591851569415,-533.1591851569415
96,96,-533.1591851569415,-533.1591851569415
97,97,-533.1591851569415,-533.1591851569415
98,98,-533.1591851569415,-533.1591851569415
99,99,-533.1591851569415,-533.1591851569415
100,100,-533.1591851569415,-533.1591851569415
101,101,-534.1525515381838,-534.1525515381838
102,102,-534.1525515381838,-534.1525515381838
103,103,-534.3773370202388,-534.3773370202388
104,104,-535.2258876365762,-535.2258876365762
105,105,-535.2258876365762,-535.2258876365762
106,106,-537.4978858419898,-537.4978858419898
107,107,-538.9018220857646,-538.9018220857646
108,108,-539.025430258995,-539.025430258995
109,109,-539.025430258995,-539.025430258995
110,110,-539.8538530033918,-539.8538530033918
111,111,-540.9143581253069,-540.9143581253069
112,112,-541.049847537868,-541.049847537868
113,113,-541.2826797180535,-541.2826797180535
114,114,-541.2826797180535,-541.2826797180535
115,115,-541.8321871475497,-541.8321871475497
116,116,-541.9108089596755,-541.9108089596755
117,117,-542.1593361553565,-542.1593361553565
118,118,-542.1593361553565,-542.1593361553565
119,119,-542.1593361553565,-542.1593361553565
120,120,-542.1593361553565,-542.1593361553565
121,121,-542.8916279479193,-542.8916279479193
122,122,-542.8916279479193,-542.8916279479193
123,123,-542.8916279479193,-542.8916279479193
124,124,-542.8916279479193,-542.8916279479193
125,125,-542.8916279479193,-542.8916279479193
126,126,-542.8916279479193,-542.8916279479193
127,127,-542.8916279479193,-542.8916279479193
128,128,-543.7078156110699,-543.7078156110699
129,129,-543.7799374451577,-543.7799374451577
130,130,-543.7799374451577,-543.7799374451577
131,131,-543.7799374451577,-543.7799374451577
132,132,-543.7799374451577,-543.7799374451577
133,133,-543.7799374451577,-543.7799374451577
134,134,-543.7799374451577,-543.7799374451577
135,135,-543.7799374451577,-543.7799374451577
136,136,-543.7799374451577,-543.7799374451577
137,137,-543.7799374451577,-543.7799374451577
138,138,-543.7799374451577,-543.7799374451577
139,139,-544.0271545303506,-544.0271545303506
140,140,-544.028175690952,-544.028175690952
141,141,-544.1752301523572,-544.1752301523572
142,142,-544.1752301523572,-544.1752301523572
143,143,-544.3369764088375,-544.3369764088375
144,144,-544.415397272094,-544.415397272094
145,145,-544.415397272094,-544.415397272094
146,146,-544.8213258742613,-544.8213258742613
147,147,-544.8213258742613,-544.8213258742613
148,148,-544.8213258742613,-544.8213258742613
149,149,-544.8213258742613,-544.8213258742613
150,150,-544.8213258742613,-544.8213258742613
151,151,-544.8213258742613,-544.8213258742613
152,152,-544.8213258742613,-544.8213258742613
153,153,-546.4397623174768,-546.4397623174768
154,154,-546.4397623174768,-546.4397623174768
155,155,-546.4397623174768,-546.4397623174768
156,156,-546.4437645178414,-546.4437645178414
157,157,-546.4437645178414,-546.4437645178414
158,158,-546.4437645178414,-546.4437645178414
159,159,-546.4437645178414,-546.4437645178414
160,160,-546.4437645178414,-546.4437645178414
161,161,-546.4437645178414,-546.4437645178414
162,162,-546.4437645178414,-546.4437645178414
163,163,-546.4437645178414,-546.4437645178414
164,164,-546.4437645178414,-546.4437645178414
165,165,-546.4437645178414,-546.4437645178414
166,166,-546.659699511801,-546.659699511801
167,167,-546.659699511801,-546.659699511801
168,168,-547.3012202440402,-547.3012202440402
169,169,-547.3012202440402,-547.3012202440402
170,170,-547.3012202440402,-547.3012202440402
171,171,-547.3012202440402,-547.3012202440402
172,172,-547.8217521218276,-547.8217521218276
173,173,-547.8217521218276,-547.8217521218276
174,174,-547.8217521218276,-547.8217521218276
175,175,-547.8855139160921,-547.8855139160921
176,176,-547.9737077042251,-547.9737077042251
177,177,-547.9737077042251,-547.9737077042251
178,178,-548.1343260595942,-548.1343260595942
179,179,-548.1343260595942,-548.1343260595942
180,180,-548.1343260595942,-548.1343260595942
181,181,-548.1343260595942,-548.1343260595942
182,182,-548.5395738077491,-548.5395738077491
183,183,-548.8476837430059,-548.8476837430059
184,184,-548.8476837430059,-548.8476837430059
185,185,-548.8476837430059,-548.8476837430059
186,186,-548.8476837430059,-548.8476837430059
187,187,-548.8476837430059,-548.8476837430059
188,188,-548.8476837430059,-548.8476837430059
189,189,-548.8476837430059,-548.8476837430059
190,190,-549.119229814153,-549.119229814153
191,191,-549.3594082332421,-549.3594082332421
192,192,-549.3594082332421,-549.3594082332421
193,193,-549.396617118558,-549.396617118558
194,194,-549.396617118558,-549.396617118558
195,195,-549.396617118558,-549.396617118558
196,196,-549.396617118558,-549.396617118558
197,197,-549.396617118558,-549.396617118558
198,198,-549.396617118558,-549.396617118558
199,199,-549.396617118558,-549.396617118558
200,200,-549.396617118558,-549.396617118558
201,201,-549.396617118558,-549.396617118558
202,202,-549.396617118558,-549.396617118558
203,203,-549.396617118558,-549.396617118558
204,204,-550.1794860382646,-550.1794860382646
205,205,-550.1794860382646,-550.1794860382646
206,206,-550.1794860382646,-550.1794860382646
207,207,-550.1794860382646,-550.1794860382646
