Index,Distance
0,"(False, None)"
0,"(True, 2567.518081175228)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 765869232200.554)"
0,"(False, None)"
0,"(True, 1007.5856788576563)"
0,"(True, 24629.147932697222)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 241.02768687423188)"
0,"(False, None)"
0,"(True, 2475.469889727213)"
0,"(True, 2499.4934014313503)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2051.964677244541)"
0,"(True, 2593.5321258630847)"
0,"(False, None)"
0,"(True, 2710.3852749974667)"
0,"(False, None)"
0,"(True, 4831186.578911455)"
0,"(True, 2565.083262879965)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2060.232300458531)"
0,"(False, None)"
0,"(True, 2496.7199176836075)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2564.7466874697766)"
0,"(True, 3248.1967553271993)"
0,"(True, 2468.996175730109)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 1302.0222666666666)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2471.6242907592746)"
0,"(False, None)"
0,"(True, 3187.9748221306063)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 429624.78734280914)"
0,"(False, None)"
0,"(True, 1857.5180685531855)"
0,"(True, 2573.087112044649)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 4967.368990650501)"
0,"(False, None)"
0,"(True, 9038604.181715162)"
0,"(True, 3741.8397667471427)"
0,"(True, 2543.2991575329766)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 1031717.3769172363)"
0,"(False, None)"
0,"(True, 2492.2612549811743)"
0,"(False, None)"
0,"(True, 2560.095679150151)"
0,"(True, 2496.7871563979543)"
0,"(True, 2612.994286307741)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 3632.836657211031)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 7349192.68732957)"
0,"(True, 32836.30545879264)"
0,"(True, 56445.33295254314)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2062.6369803119733)"
0,"(True, 2554.3713818619735)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(False, None)"
0,"(True, 2497.3668381056564)"
0,"(True, 3374.6278667906313)"
0,"(True, 2568.4655431915426)"
