,trial,best_scores
0,0,inf
1,1,835176444.115462
2,2,788097994.217877
3,3,788097994.217877
4,4,788097994.217877
5,5,788097994.217877
6,6,788097994.217877
7,7,788097994.217877
8,8,788097994.217877
9,9,788097994.217877
10,10,788097994.217877
11,11,788097994.217877
12,12,788097994.217877
13,13,788097994.217877
14,14,788097994.217877
15,15,788097994.217877
16,16,788097994.217877
17,17,788097994.217877
18,18,788097994.217877
19,19,788097994.217877
20,20,787305524.226668
21,21,787305524.226668
22,22,787305524.226668
23,23,787305524.226668
24,24,787305524.226668
25,25,787305524.226668
26,26,787305524.226668
27,27,787305524.226668
28,28,787305524.226668
29,29,787305524.226668
30,30,787305524.226668
31,31,787305524.226668
32,32,787305524.226668
33,33,787305524.226668
34,34,787305524.226668
35,35,787305524.226668
36,36,787305524.226668
37,37,444182905.037588
38,38,444182905.037588
39,39,444182905.037588
40,40,444182905.037588
41,41,444182905.037588
42,42,444182905.037588
43,43,444182905.037588
44,44,444182905.037588
45,45,444182905.037588
46,46,444182905.037588
47,47,444182905.037588
48,48,444182905.037588
49,49,444182905.037588
50,50,444182905.037588
51,51,444182905.037588
52,52,444182905.037588
53,53,444182905.037588
54,54,444182905.037588
55,55,444182905.037588
56,56,444182905.037588
57,57,444182905.037588
58,58,444182905.037588
59,59,444182905.037588
60,60,444182905.037588
61,61,444182905.037588
62,62,444182905.037588
63,63,444182905.037588
64,64,444182905.037588
65,65,444182905.037588
66,66,444182905.037588
67,67,444182905.037588
68,68,444182905.037588
69,69,444182905.037588
70,70,444182905.037588
71,71,444182905.037588
72,72,444182905.037588
73,73,444182905.037588
74,74,444182905.037588
75,75,444182905.037588
76,76,444182905.037588
77,77,444182905.037588
78,78,444182905.037588
79,79,444182905.037588
80,80,444182905.037588
81,81,444182905.037588
82,82,444182905.037588
83,83,444182905.037588
84,84,444182905.037588
85,85,444182905.037588
86,86,444182905.037588
87,87,444182905.037588
88,88,444182905.037588
89,89,444182905.037588
90,90,444182905.037588
91,91,444182905.037588
92,92,444182905.037588
93,93,444182905.037588
94,94,444182905.037588
95,95,444182905.037588
96,96,444182905.037588
97,97,444182905.037588
98,98,444182905.037588
99,99,444182905.037588
100,100,444182905.037588
101,101,444182905.037588
102,102,444182905.037588
103,103,444182905.037588
104,104,444182905.037588
105,105,444182905.037588
106,106,444182905.037588
107,107,444182905.037588
108,108,444182905.037588
109,109,444182905.037588
110,110,444182905.037588
111,111,444182905.037588
112,112,444182905.037588
113,113,444182905.037588
114,114,444182905.037588
115,115,444182905.037588
116,116,444182905.037588
117,117,444182905.037588
118,118,444182905.037588
119,119,444182905.037588
120,120,444182905.037588
121,121,444182905.037588
122,122,444182905.037588
123,123,444182905.037588
124,124,444182905.037588
125,125,444182905.037588
126,126,444182905.037588
127,127,444182905.037588
128,128,444182905.037588
129,129,444182905.037588
130,130,444182905.037588
131,131,444182905.037588
132,132,444182905.037588
133,133,444182905.037588
134,134,444182905.037588
135,135,444182905.037588
136,136,444182905.037588
137,137,444182905.037588
138,138,444182905.037588
139,139,444182905.037588
140,140,444182905.037588
141,141,444182905.037588
142,142,444182905.037588
143,143,444182905.037588
144,144,444182905.037588
145,145,444182905.037588
146,146,444182905.037588
147,147,444182905.037588
148,148,444182905.037588
149,149,444182905.037588
150,150,444182905.037588
151,151,444182905.037588
152,152,444182905.037588
153,153,444182905.037588
